iter	Passed	Remaining
0	145	14372
1	146	7179
2	153	4971
3	160	3840
4	167	3176
5	187	2931
6	194	2578
7	200	2300
8	204	2066
9	208	1879
10	213	1730
11	221	1626
12	229	1537
13	236	1455
14	242	1374
15	247	1298
16	251	1227
17	256	1166
18	260	1111
19	264	1058
20	267	1006
21	271	962
22	274	920
23	278	883
24	281	845
25	285	811
26	289	782
27	292	751
28	296	726
29	299	699
30	304	677
31	308	655
32	313	635
33	316	613
34	320	594
35	323	574
36	327	557
37	330	538
38	333	521
39	338	507
40	343	493
41	346	477
42	349	463
43	353	449
44	356	435
45	360	423
46	363	410
47	368	398
48	371	386
49	374	374
50	378	363
51	381	352
52	385	341
53	388	331
54	392	321
55	396	311
56	399	301
57	403	292
58	408	283
59	411	274
60	415	265
61	420	257
62	424	249
63	428	241
64	431	232
65	435	224
66	438	216
67	443	208
68	446	200
69	451	193
70	455	185
71	459	178
72	463	171
73	467	164
74	471	157
75	475	150
76	479	143
77	483	136
78	486	129
79	491	122
80	495	116
81	500	109
82	505	103
83	510	97
84	514	90
85	519	84
86	523	78
87	527	71
88	531	65
89	536	59
90	541	53
91	545	47
92	549	41
93	552	35
94	556	29
95	559	23
96	563	17
97	567	11
98	571	5
99	574	0
